Cepheid 4,Cepheid 5,Cepheid 10,Cepheid 18 (Mine),Cepheid 18(Book),Cepheid 32,Cepheid 56,Date
25.116,24.805,25.017,25.076,25.05,26.461,26.334,2449465.781
24.903,25.064,25.08,25.42,25.555,27.458,26.51,2449476.707
24.972,25.131,25.241,24.744,25.339,27.635,26.561,2449478.986
25.078,25.218,25.398,25.681,25.549,28.141,26.108,2449482.401
24.952,25.041,25.414,25.684,25.659,26.131,25.972,2449485.216
25.206,25.08,25.048,25.893,25.786,26.122,26.584,2449489.037
25.362,25.339,24.638,25.885,25.742,27.242,26.893,2449493.528
25.367,24.921,24.639,24.972,24.965,26.918,27.466,2449498.824
25.507,24.836,24.7,25.175,25.029,26.647,25.743,2449503.852
25.636,24.684,24.843,25.337,25.4,27.365,26.582,2449510.819
25.065,24.849,25.193,25.507,25.371,25.813,26.69,2449520.949
24.846,25.025,25.245,25.567,25.568,26.422,26.132,2449522.959
